analysis_set,category,value,count
selected_paper_cases,main_qualitative_finding_text,Both models achieve high judge scores on the failed trajectory despite missing the most important failure-related detail.,1
selected_paper_cases,main_qualitative_finding_text,"Claude provides notably more specific numerical details than GPT-5.5, particularly for the successful trajectory.",1
selected_paper_cases,main_qualitative_finding_text,Both models accurately capture the key procedural difference (Open Directory mistake) but neither explicitly flags the task failure outcome.,1
selected_paper_cases,main_qualitative_finding_text,"Claude Sonnet 4.6 achieves higher specificity scores consistently, particularly through step-number references and exact counts.",1
selected_paper_cases,main_qualitative_finding_text,"Despite the success/failure difference, both models produce structurally similar summaries for both trajectories, differing mainly in the inclusion of the error episode.",1
selected_paper_cases,main_qualitative_finding_text,"The case illustrates that procedural missteps alone may not explain task failure, and summaries that omit outcome information leave the reader without crucial context.",1
selected_paper_cases,main_qualitative_finding_text,Both evaluated models reliably detect and report premature task termination as a failure mode.,1
selected_paper_cases,main_qualitative_finding_text,Both models accurately capture error-recovery patterns in successful trajectories.,1
selected_paper_cases,main_qualitative_finding_text,This paired case demonstrates that both models maintain clear differentiation between failed and successful trajectories performing the same task.,1
selected_paper_cases,main_qualitative_finding_text,"Automatic metrics (ROUGE-L, BERTScore) show notable variation despite identical perfect judge scores.",1
selected_paper_cases,main_qualitative_finding_text,"Both evaluated models perfectly preserved the success/failure distinction across paired trajectories, receiving maximum judge scores on all dimensions for both summaries.",1
selected_paper_cases,main_qualitative_finding_text,"The case illustrates that failure can occur at the very last step of an otherwise correct procedure, and both models captured this nuance rather than characterizing the failure trajectory as broadly incorrect.",1
selected_paper_cases,main_qualitative_finding_text,"The error-recovery pattern in the successful trajectory was well-preserved by both models, maintaining the causal narrative of why the initial attempt failed and how the agent corrected course.",1
selected_paper_cases,main_qualitative_finding_text,"Despite perfect judge scores, the automatic reference metrics (ROUGE-L, BERTScore) show moderate variation across models and trajectories, suggesting these metrics may not fully capture summary quality for agent trajectories.",1
selected_paper_cases,main_qualitative_finding_text,"When paired trajectories are procedurally identical but have different success labels, both summarization models produce nearly identical summaries, faithfully reflecting the observed behavior rather than the labels.",1
selected_paper_cases,main_qualitative_finding_text,"Both models achieved perfect or near-perfect judge scores across all dimensions for both trajectories, suggesting that when trajectories are straightforward and procedurally clear, current models can summarize them reliably.",1
selected_paper_cases,main_qualitative_finding_text,The paradoxical success/failure labels for identical trajectories highlight a limitation of using success labels as ground truth for summarization evaluation.,1
selected_paper_cases,main_qualitative_finding_text,"Claude Sonnet 4.6 consistently provided slightly more specific details (step ranges, absence of DONE action) compared to GPT-5.5, though this did not substantially affect overall quality scores.",1
selected_paper_cases,main_qualitative_finding_text,Claude consistently provides more specific quantitative details about failure loops than GPT-5.5.,1
selected_paper_cases,main_qualitative_finding_text,Both models correctly preserve the distinct failure mechanisms between the two trajectories.,1
selected_paper_cases,main_qualitative_finding_text,GPT-5.5 tends to hedge on failure outcomes rather than stating them definitively.,1
selected_paper_cases,main_qualitative_finding_text,"Claude's higher judge scores do not correspond to higher automatic metrics, highlighting a disconnect between lexical overlap measures and content quality.",1
selected_paper_cases,main_qualitative_finding_text,"Claude Sonnet 4.6 achieves perfect judge scores on both trajectories despite lower automatic metrics, illustrating a disconnect between reference-based metrics and semantic quality.",1
selected_paper_cases,main_qualitative_finding_text,"GPT-5.5 introduces misleading hedging language for the clean trajectory, implying agent uncertainty that does not exist.",1
selected_paper_cases,main_qualitative_finding_text,"Both models successfully differentiate between the clean and error-recovery trajectories, preserving the key procedural contrast.",1
selected_paper_cases,main_qualitative_finding_text,Specificity loss in GPT-5.5 manifests as omission of cell references and collapsing of distinct retry attempts.,1
selected_paper_cases,main_qualitative_finding_text,Both models fail to explicitly flag task failure despite both trajectories having success_raw = 0.0.,1
selected_paper_cases,main_qualitative_finding_text,Claude achieves higher coverage scores but introduces subtle interpretive errors when explaining agent behavior.,1
selected_paper_cases,main_qualitative_finding_text,The procedural difference in frame capture method (VLC snapshot vs. full-screen PrintScreen) is well-preserved by both models across the paired trajectories.,1
selected_paper_cases,main_qualitative_finding_text,"GPT-5.5 achieves notably higher ROUGE-L and BERTScore for the doubao trajectory but lower judge scores than Claude, highlighting metric-judgment divergence.",1
selected_paper_cases,main_qualitative_finding_text,"Models show complementary strengths across paired trajectories, with each excelling on one trajectory but underperforming on the other.",1
selected_paper_cases,main_qualitative_finding_text,Neither model flags that the task outcome was a failure despite both agents appearing to complete the task.,1
selected_paper_cases,main_qualitative_finding_text,"Quantitative specificity about repetitive actions (e.g., number of undo clicks) varies significantly between models and affects perceived trajectory understanding.",1
selected_paper_cases,main_qualitative_finding_text,"Distinguishing between procedurally distinct failure phases (e.g., before vs. after entering edit mode) is important but challenging for summarizers.",1
selected_paper_cases,main_qualitative_finding_text,Summarizers can misinterpret wrong-setting errors as task success when the procedural steps superficially resemble correct behavior.,1
selected_paper_cases,main_qualitative_finding_text,Neutral factual reporting without explicit error diagnosis can be preferable to incorrect success framing.,1
selected_paper_cases,main_qualitative_finding_text,"Both models perform excellently when the trajectory involves a clear, coherent procedural path, even if the task ultimately fails.",1
selected_paper_cases,main_qualitative_finding_text,Different failure modes within the same task create asymmetric summarization difficulty.,1
selected_paper_cases,main_qualitative_finding_text,Summarizers are more likely to correctly identify failure when the failure mode is obvious (premature termination) than when it is subtle (missing intermediate steps like text selection or color picker usage).,1
selected_paper_cases,main_qualitative_finding_text,"Claude's failure awareness is inconsistent across paired trajectories of the same task, correctly identifying failure in one but hallucinating success in the other.",1
selected_paper_cases,main_qualitative_finding_text,"GPT-5.5's hedging language ('apparently setting') is a safer strategy than Claude's definitive claims when outcome is uncertain, but still falls short of explicit failure acknowledgment.",1
selected_paper_cases,main_qualitative_finding_text,"Both models achieve high judge scores for the doubao trajectory (Coverage 5, Factuality 5) but diverge on the UI-TARS trajectory, where Claude's factuality drops to 3 due to the success hallucination.",1
selected_paper_cases,main_qualitative_finding_text,Both summarization models successfully differentiate two distinct failure strategies for the same task.,1
selected_paper_cases,main_qualitative_finding_text,"Automatic metrics (ROUGE-L, BERTScore) diverge substantially from judge scores, especially for the UI-TARS trajectory.",1
selected_paper_cases,main_qualitative_finding_text,Both models consistently omit repeated-click behaviors that indicate navigation difficulties.,1
selected_paper_cases,main_qualitative_finding_text,Claude achieves slightly higher specificity than GPT across both trajectories in this pair.,1
selected_paper_cases,main_qualitative_finding_text,"Different failure modes require different summarization strategies, and models vary in their ability to flag subtle compliance failures vs. obvious interaction failures.",1
selected_paper_cases,main_qualitative_finding_text,"Claude's doubao summary demonstrates that highly detailed failure descriptions (coordinate ranges, attempt counts) can achieve perfect scores, suggesting evaluators value specificity in failure characterization.",1
selected_paper_cases,main_qualitative_finding_text,Both-failure pairs with different failure modes are particularly revealing for summarization quality because they test whether models can distinguish between types of failure rather than just detecting success vs. failure.,1
selected_paper_cases,main_qualitative_finding_text,"Automatic metrics (ROUGE-L, BERTScore) show minimal differentiation between summaries despite meaningful quality differences identified by judges.",1
selected_paper_cases,main_qualitative_finding_text,Both models correctly preserve the distinct debugging strategies between the two trajectories despite both being successful.,1
selected_paper_cases,main_qualitative_finding_text,"Claude consistently provides higher specificity (coordinates, precise step enumeration) while GPT-5.5 provides more concise but less detailed summaries.",1
selected_paper_cases,main_qualitative_finding_text,Both models express uncertainty about the doubao trajectory's final success despite the task being marked successful.,1
selected_paper_cases,main_qualitative_finding_text,"GPT-5.5's doubao summary conflates the second and third drag attempts, describing 'twice from around the title area, then tried again' rather than clearly delineating three distinct attempts.",1
selected_paper_cases,main_qualitative_finding_text,Both models fail to flag task-level failure outcomes even when both trajectories are marked as unsuccessful.,1
selected_paper_cases,main_qualitative_finding_text,Claude Sonnet 4 applies speculative hedging asymmetrically—adding doubt to the clean trajectory while accurately describing the troubled one.,1
selected_paper_cases,main_qualitative_finding_text,GPT-5.5 better preserves the procedural contrast between the two trajectories without introducing artifacts.,1
selected_paper_cases,main_qualitative_finding_text,The both-failure pair with divergent execution quality reveals a blind spot in summarization: models describe procedures but not outcomes.,1
